Neuron name,Codex July 2025
B1-6_L2,720575940646341486
B1-6_L3,720575940629063418
B1-6_L4,720575940644072483
B1-6_L5,720575940625483962
B1-6_L6,720575940607570185
B1-7_R1,720575940634606693
B1-7_R2,720575940619034806
B1-7_R3,720575940611988391
B1-7_R4,720575940613422860
B1-7_R5,720575940608035374
B1-7_R6,720575940626798101
B1-7_L1,720575940659098241
B1-7_L2,720575940603195494
B1-7_L3,720575940630028359
B1-7_L4,720575940634701407
B1-7_L5,720575940622004106
B1-7_L6,720575940615226086
B1-7_L7,720575940632084705
B1-7_L8,720575940622778820
B1-u_R1,720575940624795017
B1-u_R2,720575940609648395
B1-u_R3,720575940627235386
B1-u_R4,720575940624878602
B1-u_R5,720575940615408059
B1-u_R6,720575940621815766
B1-u_R7,720575940622168088
B1-u_R8,720575940624109464
B1-u_R9,720575940632122464
B1-u_R10,720575940634915576
B1-u_R11,720575940623873829
B1-u_R12,720575940644345652
B1-u_R13,720575940635054072
B1-u_R14,720575940637687605
B1-u_L1,720575940624872179
B1-u_L2,720575940618524481
B1-u_L3,720575940639696755
B1-u_L4,720575940603616800
B1-u_L5,720575940624245946
B1-u_L6,720575940623735482
B1-u_L7,720575940621575774
B1-u_L8,720575940610638434
B2_R1,720575940624700138
B2_R2,720575940620012253
B2_R3,720575940611597298
B2_L1,720575940625984528
B2_L2,720575940629065154
B2_L3,720575940613311151
GF_R,720575940632499757
GF_L,720575940622838154
WED-VLP-1_R1,720575940641359776
WED-VLP-1_R2,720575940609927141
WED-VLP-1_R3,720575940618833840
WED-VLP-1_R4,720575940620392984
WED-VLP-1_R5,720575940621308341
WED-VLP-1_R6,720575940625989904
WED-VLP-1_R7,720575940616611382
WED-VLP-1_R8,720575940619785566
WED-VLP-1_R9,720575940619784453
WED-VLP-1_R10,720575940631922969
WED-VLP-1_R11,720575940623304906
WED-VLP-1_L1,720575940619249031
WED-VLP-1_L2,720575940649911286
WED-VLP-1_L3,720575940623787495
