,Neuron name,Current Root ID Spring 2023,id
87,B1-u_L8,720575940611388141,720575940611388141
88,B1-u_L9,720575940624878602,720575940624878602
89,B1-u_L10,720575940620112342,720575940634606693
90,B1-u_L11,720575940626431567,720575940615408059
91,B1-u_L12,720575940621815766,720575940621815766
92,B1-u_L13,720575940619034806,720575940619034806
93,B1-u_L14,720575940611988391,720575940611988391
94,B1-u_L15,720575940622168088,720575940622168088
95,B1-u_L16,720575940613422860,720575940613422860
96,B1-u_L17,720575940624109464,720575940624109464
97,B1-u_L18,720575940608035374,720575940608035374
98,B1-u_L19,720575940632122464,720575940632122464
99,B1-u_L20,720575940618513985,720575940630131218
100,B1-u_L21,720575940634915576,720575940634915576
101,B1-u_L22,720575940623873829,720575940623873829
102,B1-u_L23,720575940644345652,720575940644345652
103,B1-u_L24,720575940625454596,720575940625454596
104,B1-u_R1,720575940626153488,720575940626153488
105,B1-u_R2,720575940630184787,720575940646341486
106,B1-u_R3,720575940624872179,720575940624872179
107,B1-u_R4,720575940629063418,720575940629063418
108,B1-u_R5,720575940659098241,720575940659098241
109,B1-u_R6,720575940644072483,720575940644072483
110,B1-u_R7,720575940603195494,720575940603195494
111,B1-u_R8,720575940618524481,720575940618524481
112,B1-u_R9,720575940639696755,720575940639696755
113,B1-u_R10,720575940630028359,720575940630028359
114,B1-u_R11,720575940634701407,720575940634701407
115,B1-u_R12,720575940622004106,720575940622004106
116,B1-u_R13,720575940603616800,720575940603616800
117,B1-u_R14,720575940625483962,720575940625483962
118,B1-u_R15,720575940615226086,720575940615226086
119,B1-u_R16,720575940632084705,720575940632084705
120,B1-u_R17,720575940624245946,720575940624245946
121,B1-u_R18,720575940623735482,720575940623735482
122,B1-u_R19,720575940622778820,720575940622778820
123,B1-u_R20,720575940607570185,720575940607570185
124,B2_L1,720575940617118424,720575940624700138
125,B2_L2,720575940620012253,720575940620012253
126,B2_L3,720575940611597298,720575940611597298
127,B2_R1,720575940625984528,720575940625984528
128,B2_R2,720575940629065154,720575940629065154
129,B2_R3,720575940613311151,720575940613311151
130,GF_L,720575940632499757,720575940632499757
131,GF_R,720575940622838154,720575940622838154
132,WED-VLP-1_L1,720575940641359776,720575940641359776
133,WED-VLP-1_L2,720575940609927141,720575940609927141
134,WED-VLP-1_L3,720575940618833840,720575940618833840
135,WED-VLP-1_L4,720575940620392984,720575940620392984
136,WED-VLP-1_L5,720575940621308341,720575940621308341
137,WED-VLP-1_L6,720575940625989904,720575940625989904
138,WED-VLP-1_L7,720575940616611382,720575940616611382
139,WED-VLP-1_L8,720575940619785566,720575940619785566
140,put_WED-VLP-1_L1,720575940619784453,720575940619784453
141,put_WED-VLP-1_L2,720575940631922969,720575940631922969
142,WED-VLP-1_R1,720575940619249031,720575940619249031
143,WED-VLP-1_R2,720575940649911286,720575940649911286
144,WED-VLP-1_R3,720575940623787495,720575940623787495
145,WED-VLP-1_R4,720575940627174247,720575940627174247
146,WED-VLP-1_R5,720575940629954724,720575940629954724
147,WED-VLP-1_R6,720575940641400224,720575940641400224
148,WED-VLP-1_R7,720575940623547685,720575940623547685
149,WED-VLP-1_R8,720575940603186790,720575940603186790
150,put_WED-VLP-1_R1,720575940622054141,720575940621447077
151,put_WED-VLP-1_R2,720575940622969528,720575940622969528
152,put_WED-VLP-1_R3,720575940632157631,720575940632157631
153,put_WED-VLP-1_R4,720575940630744019,720575940630744019
