,Neuron name,Codex July 2025,new_id
315,AVLP_pr12_L6,720575940630037073,720575940630037073
316,AVLP_pr12_L7,720575940606687957,720575940606687957
317,AVLP_PVLP_pr01-1_R1,720575940628071696,720575940628071696
318,AVLP_PVLP_pr01-1_R2,720575940618595894,720575940618595894
319,AVLP_PVLP_pr01-1_L,720575940613531295,720575940613531295
320,AVLP_PVLP_pr01-2_R1,720575940626258690,720575940626258690
321,AVLP_PVLP_pr01-2_R2,720575940629144906,720575940629144906
322,AVLP_PVLP_pr01-2_R3,720575940631799343,720575940631799343
323,AVLP_PVLP_pr01-2_L1,720575940612975853,720575940612975853
324,AVLP_PVLP_pr01-2_L2,720575940634317724,720575940634317724
325,AVLP_PVLP_pr01-2_L3,720575940621752001,720575940621752001
326,AVLP_pr36/asp10a-1_R1,720575940632764883,720575940632764883
327,AVLP_pr36/asp10a-1_R2,720575940617362772,720575940617362772
328,AVLP_pr36/asp10a-1_R3,720575940620356557,720575940620356557
329,AVLP_pr36/asp10a-1_R4,720575940627719294,720575940627719294
330,AVLP_pr36/asp10a-1_R5,720575940627363687,720575940627363687
331,AVLP_pr36/asp10a-1_R6,720575940615635037,720575940615635037
332,AVLP_pr36/asp10a-1_R7,720575940615592409,720575940615592409
333,AVLP_pr36/asp10a-1_R8,720575940619688688,720575940619688688
334,AVLP_pr36/asp10a-1_R9,720575940637175349,720575940637175349
335,AVLP_pr36/asp10a-1_R10,720575940628837650,720575940628837650
336,AVLP_pr36/asp10a-1_L1,720575940637834301,720575940637834301
337,AVLP_pr36/asp10a-1_L2,720575940629244357,720575940629244357
338,AVLP_pr36/asp10a-1_L3,720575940602120928,720575940602120928
339,AVLP_pr36/asp10a-1_L4,720575940617034398,720575940617034398
340,AVLP_pr36/asp10a-1_L5,720575940613034602,720575940613034602
341,AVLP_pr36/asp10a-1_L6,720575940609996773,720575940609996773
342,AVLP_pr36/asp10a-1_L7,720575940624662508,720575940624662508
343,AVLP_pr36/asp10a-1_L8,720575940636471408,720575940636471408
344,AVLP_pr36/asp10a-1_L9,720575940604445868,720575940604445868
