,pre_pt_root_id,post_pt_root_id,neuropil,syn_count,nt_type,Excitatory,Signed_Connectivity,Presynaptic_Index,Postsynaptic_Index
55891,720575940626309438,720575940629063418,SAD,6,ACH,1,6,1049,89
55892,720575940618475101,720575940641972384,ICL_R,1,ACH,1,1,467,342
55893,720575940630659446,720575940612153086,SAD,1,GABA,-1,-1,282,81
55894,720575940639049560,720575940619942859,AMMC_L,8,,-1,-8,698,16
55895,720575940635345519,720575940639241279,AMMC_R,4,ACH,1,4,1168,49
55896,720575940614310802,720575940627201579,AMMC_R,9,ACH,1,9,54,181
55897,720575940609289284,720575940634571383,SAD,12,ACH,1,12,813,173
55898,720575940636533574,720575940621301274,AVLP_L,4,GABA,-1,-4,414,417
55899,720575940632692378,720575940619925887,AMMC_L,1,ACH,1,1,829,379
55900,720575940620859886,720575940604201830,AMMC_L,5,,-1,-5,293,184
55901,720575940634877850,720575940603533246,SAD,1,ACH,1,1,70,179
55902,720575940615976891,720575940624546062,SAD,2,,-1,-2,1297,1274
55903,720575940625054647,720575940629063418,GNG,1,,-1,-1,1312,89
55904,720575940619940811,720575940610358990,SAD,4,,-1,-4,733,31
55905,720575940623334891,720575940617431325,SAD,6,ACH,1,6,1111,44
55906,720575940605800369,720575940618392912,SAD,7,,-1,-7,939,69
55907,720575940620249734,720575940646400644,AMMC_L,1,ACH,1,1,1292,75
55908,720575940616859622,720575940612153086,AMMC_R,7,ACH,1,7,654,81
55909,720575940628978409,720575940635330204,AMMC_L,1,ACH,1,1,1576,171
55910,720575940612647166,720575940622123981,AMMC_R,4,ACH,1,4,672,170
55911,720575940610077026,720575940609513841,AVLP_R,1,ACH,1,1,21,185
55912,720575940619969227,720575940612523571,AL_L,1,,-1,-1,725,29
55913,720575940645085975,720575940618599277,AMMC_L,1,,-1,-1,727,56
55914,720575940633738209,720575940628495447,SAD,2,,-1,-2,1367,1173
55915,720575940618409797,720575940631631564,WED_R,2,ACH,1,2,59,64
55916,720575940632945177,720575940627201579,AL_L,1,GABA,-1,-1,180,181
55917,720575940623090446,720575940646927668,SAD,1,GABA,-1,-1,289,1313
55918,720575940627442709,720575940637630783,SAD,2,,-1,-2,710,700
55919,720575940625919434,720575940634701407,AMMC_L,3,,-1,-3,974,102
55920,720575940629552170,720575940650920569,SAD,2,ACH,1,2,503,501
55921,720575940620910774,720575940608432760,SAD,1,GABA,-1,-1,286,287
55922,720575940605929161,720575940636395866,SAD,2,ACH,1,2,1176,1241
55923,720575940611864243,720575940621339686,PVLP_L,2,ACH,1,2,61,82
55924,720575940610018266,720575940618599277,SAD,1,ACH,1,1,1086,56
55925,720575940615926982,720575940631100690,SAD,2,,-1,-2,1244,1322
55926,720575940610116581,720575940630131218,IPS_L,2,GABA,-1,-2,406,85
55927,720575940629283659,720575940609513841,AMMC_L,1,GABA,-1,-1,196,185
55928,720575940626153488,720575940639696755,WED_L,1,ACH,1,1,87,123
55929,720575940621148660,720575940626228329,WED_R,1,GABA,-1,-1,176,217
55930,720575940612078511,720575940620758221,AVLP_L,1,GABA,-1,-1,402,23
55931,720575940623108134,720575940615308729,SAD,4,,-1,-4,1300,488
55932,720575940644252951,720575940615200059,AVLP_L,14,ACH,1,14,343,448
55933,720575940613943413,720575940633613026,AVLP_L,4,ACH,1,4,167,245
55934,720575940641400224,720575940621713672,AVLP_L,19,ACH,1,19,153,204
55935,720575940621713672,720575940622699196,AVLP_L,2,GABA,-1,-2,204,166
55936,720575940623113752,720575940632109775,AVLP_L,7,DA,-1,-7,297,346
55937,720575940622699196,720575940627709801,AVLP_L,8,ACH,1,8,166,206
55938,720575940611694545,720575940617353433,AVLP_L,1,ACH,1,1,274,278
55939,720575940632157631,720575940621713672,AVLP_L,2,ACH,1,2,158,204
55940,720575940640926627,720575940627827450,PVLP_L,6,GABA,-1,-6,425,275
55941,720575940634126949,720575940626042499,AVLP_L,38,ACH,1,38,164,201
55942,720575940622699196,720575940632157631,AVLP_L,1,ACH,1,1,166,158
55943,720575940641626056,720575940621429757,AME_L,1,GABA,-1,-1,237,235
55944,720575940613943413,720575940621713672,AVLP_L,29,ACH,1,29,167,204
55945,720575940626042499,720575940613943413,AVLP_L,17,GABA,-1,-17,201,167
55946,720575940608035374,720575940626196313,AVLP_L,2,ACH,1,2,97,430
55947,720575940622699196,720575940634126478,AVLP_L,1,ACH,1,1,166,165
55948,720575940634126949,720575940603683505,AVLP_L,40,ACH,1,40,164,203
55949,720575940611713634,720575940616941201,SLP_L,1,ACH,1,1,241,345
55950,720575940623787495,720575940648981881,AVLP_L,6,ACH,1,6,150,276
55951,720575940611713634,720575940615200059,AVLP_L,3,ACH,1,3,241,448
55952,720575940612801022,720575940621429757,PVLP_L,1,GABA,-1,-1,236,235
55953,720575940626042499,720575940634829168,AVLP_L,20,GABA,-1,-20,201,434
55954,720575940632109775,720575940630396790,AVLP_L,1,ACH,1,1,346,347
55955,720575940630622803,720575940633613026,AVLP_L,2,ACH,1,2,239,245
55956,720575940639256704,720575940648981881,SLP_L,1,ACH,1,1,243,276
55957,720575940627827450,720575940617353433,AVLP_L,4,ACH,1,4,275,278
55958,720575940626042499,720575940630744019,AVLP_L,14,GABA,-1,-14,201,168
55959,720575940623547685,720575940603683505,AVLP_L,8,ACH,1,8,154,203
55960,720575940634126949,720575940622699196,AVLP_L,5,ACH,1,5,164,166
